Country,Month,Temperature,Humidity
Angola,July,43.58,89.55
Angola,July,30.17,89.42
Angola,June,47.82,87.84
Angola,May,28.4,87.48
Angola,May,24.81,86.18
Angola,July,22.18,86.07
Angola,July,33.96,84.37
Angola,July,20.5,83.95
Angola,June,30.86,82.97
Angola,May,39.81,82.18
Angola,July,30.16,81.4
Angola,May,45.61,80.76
Angola,July,42.44,79.88
Angola,August,21.8,79.54
Angola,August,21.8,79.54
Angola,August,21.8,79.54
Angola,June,38.7,78.57
Angola,July,41.22,77.21
Angola,August,41.95,76.71
Angola,July,41.12,75.7
Angola,May,29.53,75.57
Angola,August,30.57,75.28
Angola,August,30.57,75.28
Angola,August,45.94,75.27
Angola,May,26.82,71.75
Angola,August,48.42,71.46
Angola,May,26.13,71.25
Angola,June,42.74,70.68
Angola,June,27.12,70.41
Angola,May,25.7,70.36
Angola,July,30.97,65.83
Angola,May,36.34,65.18
Angola,May,27.38,65.11
Angola,August,35.06,62.17
Angola,May,44.15,60.7
Angola,August,35.86,59.84
Angola,June,39.25,56.44
Angola,July,25.19,55.75
Angola,June,33.05,53.91
Angola,May,38.16,53.86
Angola,June,30.73,53.64
Angola,June,30.26,52.52
Angola,May,47.28,49.7
Angola,July,48.59,46.66
Angola,July,48.59,46.66
Angola,August,48.24,46.34
Angola,August,48.24,46.34
Angola,July,40.91,46.24
Angola,July,40.91,46.24
Angola,July,40.91,46.24
Angola,June,21.81,45.65
Angola,June,28.83,45.08
Angola,July,21.06,44.29
Angola,June,40.26,44.16
Angola,July,41.08,43.91
Angola,May,47.34,42.49
Angola,July,42.41,41.01
Angola,July,31.97,40.53
Angola,July,31.97,40.53
Angola,July,43.2,34.59
Angola,July,43.2,34.59
Angola,August,31.98,34.52
Angola,May,49.77,34.41
Angola,July,23.45,33.46
Angola,June,48.57,29.71
Angola,June,25.78,28.98
Angola,June,25.78,28.98
Angola,May,41.06,28.91
Angola,August,36.53,28.31
Angola,May,24.35,26.18
Angola,July,32.99,25.74
Angola,June,43.18,25.68
Angola,June,42.75,25.0
Angola,July,32.92,24.39
Angola,June,24.07,24.05
Angola,May,38.44,23.48
Angola,May,38.44,23.48
Angola,June,45.62,22.57
Angola,June,22.79,22.41
Angola,May,23.12,20.19
Angola,May,40.76,19.34
Angola,May,40.76,19.34
Angola,August,37.06,19.26
Angola,June,41.89,18.98
Angola,May,49.32,18.73
Angola,July,24.28,18.16
Angola,August,45.77,16.87
Angola,August,45.77,16.87
Angola,August,45.77,16.87
Angola,August,36.46,16.75
Angola,May,41.31,14.96
Angola,June,23.77,12.99
Angola,May,33.17,12.98
Angola,July,44.94,12.08
Angola,May,28.83,11.62
Angola,May,33.28,11.25
